AppID,Name,Published Date,Original Price,Discount Price,Discount %,Reviews Count,Reviews Positive,Review Label,Search Filter,Number Of Players,Controller Support,OS
730,Counter-Strike 2,"21 Aug, 2012",Free,Free,N/A,2556344,86%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Cross-Platform Multiplayer, Multi-player",N/A,"SteamOS + Linux, Windows"
4704690,MECCHA CHAMELEON,"9 Jun, 2026",Rp 58 499,Rp 46 799,-20%,2587,80%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Multi-player, Online PvP, PvP",N/A,Windows
1085660,Destiny 2,"1 Oct, 2019",Free,Free,N/A,384732,78%,Mostly Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Online PvP, PvP, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Xbox Controller Support",Windows
2483190,Forza Horizon 6,"18 May, 2026",Rp 899 000,Rp 899 000,N/A,33155,86%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Online PvP, PvP, Singleplayer","Full Controller Support, Gamepad Preferred, Xbox Controller Support",Windows
3405690,EA SPORTS FC™ 26,"25 Sep, 2025",Rp 239 000,Rp 47 800,-80%,20122,47%,Mixed,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op, Online PvP, PvP, Shared/Split Screen, Shared/Split Screen Co-op, Shared/Split Screen PvP, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
281990,Stellaris,"9 May, 2016",Rp 563 999,Rp 563 999,N/A,75756,86%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Cross-Platform Multiplayer, Multi-player, Singleplayer",N/A,"SteamOS + Linux, Windows, macOS"
2694490,Path of Exile 2,"6 Dec, 2024",Rp 478 185,Rp 478 185,N/A,93636,76%,Mostly Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Multi-player, Online Co-op, Singleplayer","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
3513350,Wuthering Waves,"28 Apr, 2025",Free,Free,N/A,26039,89%,Very Positive,"mostplayed, newreleases, topsellers, upcomingreleases",Singleplayer,"DualShock Controller Support, Dualsense Controller Support, Xbox Controller Support",Windows
381210,Dead by Daylight,"14 Jun, 2016",Rp 219 890,Rp 219 890,N/A,256978,79%,Mostly Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op, Online PvP, PvP","Full Controller Support, Steam Input API Support, Xbox Controller Support",Windows
2767030,Marvel Rivals,"5 Dec, 2024",Free,Free,N/A,284727,77%,Mostly Positive,"mostplayed, newreleases, topsellers, upcomingreleases","Co-op, Cross-Platform Multiplayer, Multi-player, Online Co-op, Online PvP, PvP","DualShock Controller Support, Dualsense Controller Support, Full Controller Support, Xbox Controller Support",Windows
